codigo_ocupacion;descripcion_ocupacion
36324;Operadores de maquinaria y/o equipos electromecánicos del almacenaje- No calificados
36329;Operadores de maquinaria y/o equipos electromecánicos del almacenaje- Calificación ignorada
36331;Operadores de sistemas y/o equipos informatizados del almacenaje- Calificación profesional
36332;Operadores de sistemas y/o equipos informatizados del almacenaje - Calificación técnica
36333;Operadores de sistemas y/o equipos informatizados del almacenaje - Calificación operativa
36334;Operadores de sistemas y/o equipos informatizados del almacenaje - No calificados
36339;Operadores de sistemas y/o equipos informatizados del almacenaje - Calificación ignorada
40111;Cuenta propia sin operación de maquinarias de la salud y sanidad- Calificación profesional
40112;Cuenta propia sin operación de maquinarias de la salud y sanidad- Calificación técnica
40113;Cuenta propia sin operación de maquinarias de la salud y sanidad- Calificación operativa
40119;Cuenta propia sin operación de maquinarias de la salud y sanidad- Calificación ignorada
40121;Cuenta propia con operación de maquinarias yo equipos electromecánicos de la salud y sanidad- Calificación profesional
40122;Cuenta propia con operación de maquinarias yo equipos electromecánicos de la salud y sanidad- Calificación técnica
40123;Cuenta propia con operación de maquinarias yo equipos electromecánicos de la salud y sanidad- Calificación operativa
40129;Cuenta propia con operación de maquinarias yo equipos electromecánicos de la salud y sanidad- Calificación ignorada
40131;Cuenta propia con operación de sistemas y/o equipos informatizados de la salud y sanidad- Calificación profesional
40132;Cuenta propia con operación de sistemas y/o equipos informatizados de la salud y sanidad - Calificación técnica
40133;Cuenta propia con operación de sistemas y/o equipos informatizados de la salud y sanidad - Calificación operativa
40139;Cuenta propia con operación de sistemas y/o equipos informatizados de la salud y sanidad - Calificación ignorada
40201;Jefes de la salud y sanidad - Calificación profesional
40202;Jefes de la salud y sanidad - Calificación técnica
40203;Jefes de la salud y sanidad - Calificación operativa
40209;Jefes de la salud y sanidad - Calificación ignorada
40311;Trabajadores sin operación de maquinarias de salud y sanidad- Calificación profesional
40312;Trabajadores sin operación de maquinarias de salud y sanidad - Calificación técnica
40313;Trabajadores sin operación de maquinarias de salud y sanidad - Calificación operativa
40314;Trabajadores sin operación de maquinarias de salud y sanidad - No calificados
40319;Trabajadores sin operación de maquinarias de salud y sanidad - Calificación ignorada
40321;Operadores de maquinaria y/o equipos electromecánicos de la salud, sanidad - Calificación profesional
40322;Operadores de maquinaria y/o equipos electromecánicos de la salud, sanidad- Calificación técnica
40323;Operadores de maquinaria y/o equipos electromecánicos de la salud, sanidad- Calificación operativa
40324;Operadores de maquinaria y/o equipos electromecánicos de la salud, sanidad- No calificado
40329;Operadores de maquinaria y/o equipos electromecánicos de la salud, sanidad- Calificación ignorada
40331;Operadores de sistemas y/o equipos informatizados de la salud y sanidad- Calificación profesional
40332;Operadores de sistemas y/o equipos informatizados de la salud y sanidad- Calificación técnica
40333;Operadores de sistemas y/o equipos informatizados de la salud y sanidad- Calificación operativa
40334;Operadores de sistemas y/o equipos informatizados de la salud y sanidad - No calificados
40339;Operadores de sistemas y/o equipos informatizados de la salud y sanidad- Calificación ignorada
41111;Cuenta propia sin operación de maquinaria de la educación- Calificación profesional
41112;Cuenta propia sin operación de maquinaria de la educación- Calificación técnica
41113;Cuenta propia sin operación de maquinaria de la educación- Calificación operativa
41119;Cuenta propia sin operación de maquinaria de la educación- Calificación ignorada
41121;Cuenta propia con operación de maquinarias y/o equipos electromecánicos de la educación- Calificación profesional
41122;Cuenta propia con operación de maquinarias y/o equipos electromecánicos de la educación - Calificación técnica
41123;Cuenta propia con operación de maquinarias y/o equipos electromecánicos de la educación - Calificación operativa
41129;Cuenta propia con operación de maquinarias y/o equipos electromecánicos de la educación - Calificación ignorada
41131;Cuenta propia con operación de sistemas y/o equipos informatizados de la educación - Calificación profesional
41132;Cuenta propia con operación de sistemas y/o equipos informatizados de la educación - Calificación técnica
41139;Cuenta propia con operación de sistemas y/o equipos informatizados de la educación - Calificación operativa
41201;Jefes de la educación - Calificación profesional
41202;Jefes de la educación - Calificación técnica
41203;Jefes de la educación - Calificación operativa
41209;Jefes de la educación - Calificación ignorada
41311;Trabajadores sin operación de maquinarias de la educación- Calificación profesional
41312;Trabajadores sin operación de maquinarias de la educación- Calificación técnica
41313;Trabajadores sin operación de maquinarias de la educación - Calificación operativa
41314;Trabajadores sin operación de maquinarias de la educación - No calificados
41319;Trabajadores sin operación de maquinarias de la educación - Calificación ignorada
41321;Operadores de maquinaria y/o equipos electromecánicos de la educación - Calificación profesional
41322;Operadores de maquinaria y/o equipos electromecánicos de la educación - Calificación técnica
41323;Operadores de maquinaria y/o equipos electromecánicos de la educación - Calificación operativa
41324;Operadores de maquinaria y/o equipos electromecánicos de la educación- No calificado
41329;Operadores de maquinaria y/o equipos electromecánicos de la educación - Calificación ignorada
41331;Operadores de sistemas y/o equipos informatizados de la educación - Calificación profesional
41332;Operadores de sistemas y/o equipos informatizados de la educación - Calificación técnica
41333;Operadores de sistemas y/o equipos informatizados de la educación - Calificación operativa
41334;Operadores de sistemas y/o equipos informatizados de la educación - No calificados
41339;Operadores de sistemas y/o equipos informatizados de la educación - Calificación ignorada
42111;Cuenta propia sin operación de maquinarias de la investigacióncientífica y tecnológica- Calificación profesional
42112;Cuenta propia sin operación de maquinarias de la investigacióncientífica y tecnológica- Calificación técnica
42113;Cuenta propia sin operación de maquinarias de la investigación científica y tecnológica- Calificación operativa
42119;Cuenta propia sin operación de maquinarias de la investigación científica y tecnológica- Calificación ignorada
42121;Cuenta propia con operación de maquinarias y/o equipos electromecánicos de la investigación científica y tecnológica- Calificación profesional
42122;Cuenta propia con operación de maquinarias y/o equipos electromecánicos de la investigación científica y tecnológica- Calificación técnica
42123;Cuenta propia con operación de maquinarias y/o equipos electromecánicos de la investigación científica y tecnológica- Calificación operativa
42129;Cuenta propia con operación de maquinarias y/o equipos electromecánicos de la investigación científica y tecnológica- Calificación ignorada
42131;Cuenta propia con operación de sistemas y/o equipos informatizados de la investigación científica y tecnológica- Calificación profesional
42132;Cuenta propia con operación de sistemas y/o equipos informatizados de la investigación científica y tecnológica- Calificación técnica
42133;Cuenta propia con operación de sistemas y/o equipos informatizados de la investigación científica y tecnológica- Calificación operativa
42139;Cuenta propia con operación de sistemas y/o equipos informatizados de la investigación científica y tecnológica- Calificación ignorada
42201;Jefes de la investigación científica y tecnológica- Calificación profesional
42202;Jefes de la investigación científica y tecnológica- Calificación técnica
42203;Jefes de la investigación científica y tecnológica- Calificación operativa
42209;Jefes de la investigación científica y tecnológica- Calificación ignorada
42311;Trabajadores sin operación de maquinarias de la investigación científica y tecnológica- Calificación profesional
42312;Trabajadores sin operación de maquinarias de la investigación científica y tecnológica- Calificación técnica
42313;Trabajadores sin operación de maquinarias de la investigación científica y tecnológica- Calificación operativa
42314;Trabajadores sin operación de maquinarias de la investigación científica y tecnológica- No calificados
42319;Trabajadores sin operación de maquinarias de la investigación científica y tecnológica- Calificación ignorada
42321;Operadores de maquinaria y/o equipos electromecánicos de la investigación científica y tecnológica- Calificación profesional
42322;Operadores de maquinaria y/o equipos electromecánicos de la investigación científica y tecnológica- Calificación técnica
42323;Operadores de maquinaria y/o equipos electromecánicos de la investigación científica y tecnológica- Calificación operativa
42324;Operadores de maquinaria y/o equipos electromecánicos de la investigación científica y tecnológica- No calificados
42329;Operadores de maquinaria y/o equipos electromecánicos de la investigación científica y tecnológica- Calificación ignorada
42331;Operadores de sistemas y/o equipos informatizados de la investigación científica y tecnológica- Calificación profesional
42332;Operadores de sistemas y/o equipos informatizados de la investigación científica y tecnológica- Calificación técnica
42333;Operadores de sistemas y/o equipos informatizados de la investigación científica y tecnológica- Calificación operativa
42334;Operadores de sistemas y/o equipos informatizados de la investigación científica y tecnológica- No calificados
42339;Operadores de sistemas y/o equipos informatizados de la investigación científica y tecnológica- Calificación ignorada
43111;Cuenta propia sin operación de maquinarias de la asesoría y consultoría- Calificación profesional
43112;Cuenta propia sin operación de maquinarias de la asesoría y consultoría- Calificación técnica
43113;Cuenta propia sin operación de maquinarias de la asesoría y consultoría- Calificación operativa
43119;Cuenta propia sin operación de maquinarias de la asesoría y consultoría- Calificación ignorada
43121;Cuenta propia con operación de maquinarias y/o equipos electromecánicos de la asesoría y consultoría- Calificación profesional
43122;Cuenta propia con operación de maquinarias y/o equipos electromecánicos de la asesoría y consultoría- Calificación técnica
43123;Cuenta propia con operación de maquinarias y/o equipos electromecánicos de la asesoría y consultoría- Calificación operativa
43129;Cuenta propia con operación de maquinarias y/o equipos electromecánicos de la asesoría y consultoría- Calificación ignorada
43131;Cuenta propia con operación de sistemas y/o equipos informatizados de la asesoría y consultoría- Calificación profesional
43132;Cuenta propia con operación de sistemas y/o equipos informatizados de la asesoría y consultoría- Calificación técnica
43133;Cuenta propia con operación de sistemas y/o equipos informatizados de la asesoría y consultoría- Calificación operativa
43139;Cuenta propia con operación de sistemas y/o equipos informatizados de la asesoría y consultoría- Calificación ignorada
43201;Jefes de la asesoría y consultoría- Calificación profesional
43202;Jefes de la asesoría y consultoría- Calificación técnica
43203;Jefes de la asesoría y consultoría- Calificación operativa
43209;Jefes de la asesoría y consultoría- Calificación ignorada
43311;Trabajadores sin la operación de maquinarias de la asesoría y consultoría- Calificación profesional
43312;Trabajadores sin la operación de maquinarias de la asesoría y consultoría- Calificación técnica
43313;Trabajadores sin la operación de maquinarias de la asesoría y consultoría- Calificación operativa
43319;Trabajadores sin la operación de maquinarias de la asesoría y consultoría- Calificación ignorada
43321;Operadores de maquinariasy/o equipos electromecánicos de la asesoría y consultoría- Calificación profesional
43322;Operadores de maquinariasy/o equipos electromecánicos de la asesoría y consultoría- Calificación técnica
43323;Operadores de maquinariasy/o equipos electromecánicos de la asesoría y consultoría- Calificación operativa
43324;Operadores de maquinariasy/o equipos electromecánicos de la asesoría y consultoría- No calificado
43329;Operadores de maquinariasy/o equipos electromecánicos de la asesoría y consultoría- Calificación ignorada
43331;Operadores de sistemas y/o equipos informatizados de la asesoría y consultoría- Calificación profesional
43332;Operadores de sistemas y/o equipos informatizados de la asesoría y consultoría- Calificación técnica
43333;Operadores de sistemas y/o equipos informatizados de la asesoría y consultoría- Calificación operativa
43334;Operadores de sistemas y/o equipos informatizados de la asesoría y consultoría- No calificado
43339;Operadores de sistemas y/o equipos informatizados de la asesoría y consultoría- Calificación ignorada
44111;Cuenta propia sin operación de maquinarias de la prevención de siniestros(naturales, humanos, productivos) y atención del medio ambiente y ecología- Calificación profesional
44112;Cuenta propia sin operación de maquinarias de la prevención de siniestros(naturales, humanos, productivos) y atención del medio ambiente y ecología- Calificación técnica
44113;Cuenta propia sin operación de maquinarias de la prevención de siniestros(naturales, humanos, productivos) y atención del medio ambiente y ecología- Calificación operativa
44119;Cuenta propia sin operación de maquinarias de la prevención de siniestros(naturales, humanos, productivos) y atención del medio ambiente y ecología- Calificación ignorada
44122;Cuenta propia con operación de maquinarias y/o equipos electromecánicos de la prevención de siniestros(naturales, humanos, productivos) y atención del medio ambiente y ecología- Calific
44123;Cuenta propia con operación de maquinarias y/o equipos electromecánicos de la prevención de siniestros(naturales, humanos, productivos) y atención del medio ambiente y ecología- Calific
44129;Cuenta propia con operación de maquinarias y/o equipos electromecánicos de la prevención de siniestros(naturales, humanos, productivos) y atención del medio ambiente y ecología- Calific
44131;Cuenta propia con operación de sistemas y/o equipos informatizados de la prevención de siniestros(naturales, humanos, productivos) y atención del medio ambiente y ecología- Calificación
44132;Cuenta propia con operación de sistemas y/o equipos informatizados de la prevención de siniestros(naturales, humanos, productivos) y atención del medio ambiente y ecología- Calificación
44133;Cuenta propia con operación de sistemas y/o equipos informatizados de la prevención de siniestros(naturales, humanos, productivos) y atención del medio ambiente y ecología- Calificación
44139;Cuenta propia con operación de sistemas y/o equipos informatizados de la prevención de siniestros(naturales, humanos, productivos) y atención del medio ambiente y ecología- Calificación
44201;Jefes de la prevención de siniestros (naturales, humanos, productivos) y atención del medio ambiente y ecología- Calificación profesional
44202;Jefes de la prevención de siniestros (naturales, humanos, productivos) y atención del medio ambiente y ecología- Calificación técnica
44203;Jefes de la prevención de siniestros (naturales, humanos, productivos) y atención del medio ambiente y ecología- Calificación operativa
44209;Jefes de la prevención de siniestros (naturales, humanos, productivos) y atención del medio ambiente y ecología- Calificación ignorada
44311;Trabajadores sin operación de maquinarias de prevención de siniestros(naturales, humanos, productivos) y atención del medio ambiente y ecología- Calificación profesional
44312;Trabajadores sin operación de maquinarias de prevención de siniestros(naturales, humanos, productivos) y atención del medio ambiente y ecología- Calificación técnica
44313;Trabajadores sin operación de maquinarias de prevención de siniestros(naturales, humanos, productivos) y atención del medio ambiente y ecología- Calificación operativa
44314;Trabajadores sin operación de maquinarias de prevención de siniestros(naturales, humanos, productivos) y atención del medio ambiente y ecología - No calificados
44319;Trabajadores sin operación de maquinarias de prevención de siniestros(naturales, humanos, productivos) y atención del medio ambiente y ecología- Calificación ignorada
44321;Operadores de maquinarias y/o equipos electromecánicos de la prevención de siniestros(naturales, humanos, productivos) y atención del medio ambiente y ecología- Calificación profesional
44322;Operadores de maquinarias y/o equipos electromecánicos de la prevención de siniestros(naturales, humanos, productivos) y atención del medio ambiente y ecología- Calificación técnica
44323;Operadores de maquinarias y/o equipos electromecánicos de la prevención de siniestros(naturales, humanos, productivos) y atención del medio ambiente y ecología- Calificación operativa
44324;Operadores de maquinarias y/o equipos electromecánicos de la prevención de siniestros(naturales, humanos, productivos) y atención del medio ambiente y ecología - No calificados
44329;Operadores de maquinarias y/o equipos electromecánicos de la prevención de siniestros(naturales, humanos, productivos) y atención del medio ambiente y ecología- Calificación ignorada
44331;Operadores de sistemas y/o equipos informatizados de la prevención de siniestros(naturales, humanos, productivos) y atención del medio ambiente y ecología- Calificación profesional
44332;Operadores de sistemas y/o equipos informatizados de la prevención de siniestros(naturales, humanos, productivos) y atención del medio ambiente y ecología- Calificación técnica
44333;Operadores de sistemas y/o equipos informatizados de la prevención de siniestros(naturales, humanos, productivos) y atención del medio ambiente y ecología- Calificación operativa
44334;Operadores de sistemas y/o equipos informatizados de la prevención de siniestros(naturales, humanos, productivos) y atención del medio ambiente y ecología- no calificadas
44339;Operadores de sistemas y/o equipos informatizados de la prevención de siniestros(naturales, humanos, productivos) y atención del medio ambiente y ecología- Calificación ignorada
45111;Cuenta propia sin operación de maquinarias de la comunicación de masas- Calificación profesional
45112;Cuenta propia sin operación de maquinarias de la comunicación de masas- Calificación técnica
45113;Cuenta propia sin operación de maquinarias de la comunicación de masas - Calificación operativa
45119;Cuenta propia sin operación de maquinarias de la comunicación de masas - Calificación ignorada
45121;Cuenta propia con operación de maquinarias y/o equipos electromecánicos de la comunicación de masas- Calificación profesional
45122;Cuenta propia con operación de maquinarias y/o equipos electromecánicos de la comunicación de masas- Calificación técnica
45123;Cuenta propia con operación de maquinarias y/o equipos electromecánicos de la comunicación de masas- Calificación operativa
45129;Cuenta propia con operación de maquinarias y/o equipos electromecánicos de la comunicación de masas- Calificación ignorada
45131;Cuenta propia con operación de sistemas y/o equipos informatizados de la comunicación de masas - Calificación profesional
45132;Cuenta propia con operación de sistemas y/o equipos informatizados de la comunicación de masas- Calificación técnica
45133;Cuenta propia con operación de sistemas y/o equipos informatizados de la comunicación de masas- Calificación operativa
45139;Cuenta propia con operación de sistemas y/o equipos informatizados de la comunicación de masas- Calificación ignorada
45201;Jefes de la comunicación de masas- Calificación profesional
45202;Jefes de la comunicación de masas- Calificación técnica
45203;Jefes de la comunicación de masas- Calificación operativa
45209;Jefes de la comunicación de masas- Calificación ignorada
45311;Trabajadores sin operación de maquinarias de la comunicación de masas- Calificación profesional
45312;Trabajadores sin operación de maquinarias de la comunicación de masas- Calificación técnica
45313;Trabajadores sin operación de maquinarias de la comunicación de masas- Calificación operativa
45314;Trabajadores sin operación de maquinarias de la comunicación de masas- No calificado
45319;Trabajadores sin operación de maquinarias de la comunicación de masas- Calificación ignorada
45321;Operadores de maquinaria y/o equipos electromecánicos de la comunicación de masas- Calificación profesional
45322;Operadores de maquinaria y/o equipos electromecánicos de la comunicación de masas - Calificación técnica
45323;Operadores de maquinaria y/o equipos electromecánicos de la comunicación de masas- Calificación operativa
45324;Operadores de maquinaria y/o equipos electromecánicos de la comunicación de masas- No calificados
45329;Operadores de maquinaria y/o equipos electromecánicos de la comunicación de masas- Calificación ignorada
45331;Operadores de sistemas y/o equipos informatizados de la comunicación de masas- Calificación profesional
45332;Operadores de sistemas y/o equipos informatizados de la comunicación de masas- Calificación técnica
45333;Operadores de sistemas y/o equipos informatizados de la comunicación de masas- Calificación operativa
45334;Operadores de sistemas y/o equipos informatizados de la comunicación de masas- No calificados
45339;Operadores de sistemas y/o equipos informatizados de la comunicación de masas- Calificación ignorada
46111;Cuenta propia sin operación de maquinarias de los servicios sociales, comunales, políticos, gremiales y religiosos- Calificación profesional
46112;Cuenta propia sin operación de maquinarias de los servicios sociales, comunales, políticos, gremiales y religiosos- Calificación técnica
46113;Cuenta propia sin operación de maquinarias de los servicios sociales, comunales, políticos, gremiales y religiosos- Calificación operativa
46119;Cuenta propia sin operación de maquinarias de los servicios sociales, comunales, políticos, gremiales y religiosos- Calificación ignorada
46121;Cuenta propia con operación de maquinarias y/o equipos electromecánicos de los servicios sociales, comunales, políticos, gremiales y religiosos- Calificación profesional
46122;Cuenta propia con operación de maquinarias y/o equipos electromecánicos de los servicios sociales, comunales, políticos, gremiales y religiosos- Calificación técnica
46123;Cuenta propia con operación de maquinarias y/o equipos electromecánicos de los servicios sociales, comunales, políticos, gremiales y religiosos- Calificación operativa
46129;Cuenta propia con operación de maquinarias y/o equipos electromecánicos de los servicios sociales, comunales, políticos, gremiales y religiosos- Calificación ignorada
46131;Cuenta propia con operación de sistemas y/o equipos informatizados de los servicios sociales, comunales, políticos, gremiales y religiosos- Calificación profesional
46132;Cuenta propia con operación de sistemas y/o equipos informatizados de los servicios sociales, comunales, políticos, gremiales y religiosos - Calificación técnica
46133;Cuenta propia con operación de sistemas y/o equipos informatizados de los servicios sociales, comunales, políticos, gremiales y religiosos - Calificación operativa
46139;Cuenta propia con operación de sistemas y/o equipos informatizados de los servicios sociales, comunales, políticos, gremiales y religiosos - Calificación ignorada
46201;Jefes de los servicios sociales, comunales, políticos, gremiales y religiosos- Calificación profesional
46202;Jefes de los servicios sociales, comunales, políticos, gremiales y religiosos - Calificación técnica
46203;Jefes de los servicios sociales, comunales, políticos, gremiales y religiosos - Calificación operativa
46209;Jefes de los servicios sociales, comunales, políticos, gremiales y religiosos - Calificación ignorada
46311;Trabajadores sin operación de maquinarias de servicios sociales, comunales, políticos, gremiales y religiosos- Calificación profesional
46312;Trabajadores sin operación de maquinarias de servicios sociales, comunales, políticos, gremiales y religiosos- Calificación técnica
46313;Trabajadores sin operación de maquinarias de servicios sociales, comunales, políticos, gremiales y religiosos- Calificación operativa
46314;Trabajadores sin operación de maquinarias de servicios sociales, comunales, políticos, gremiales y religiosos- No calificado
46319;Trabajadores sin operación de maquinarias de servicios sociales, comunales, políticos, gremiales y religiosos- Calificación ignorada
46321;Operadores de maquinarias y/o equipos electromecánicos de servicios sociales,comunales, políticos, gremiales y religiosos- Calificación profesional
46322;Operadores de maquinarias y/o equipos electromecánicos de servicios sociales,comunales, políticos, gremiales y religiosos- Calificación técnica
46323;Operadores de maquinarias y/o equipos electromecánicos de servicios sociales,comunales, políticos, gremiales y religiosos- Calificación operativa
46324;Operadores de maquinarias y/o equipos electromecánicos de servicios sociales,comunales, políticos, gremiales y religiosos- No calificado
46329;Operadores de maquinarias y/o equipos electromecánicos de servicios sociales,comunales, políticos, gremiales y religiosos- Calificación ignorada
46331;Operadores de sistemas y/o equipos informatizados de servicios sociales,comunales, políticos, gremiales y religiosos- Calificación profesional
46332;Operadores de sistemas y/o equipos informatizados de servicios sociales,comunales, políticos, gremiales y religiosos- Calificación técnica
46333;Operadores de sistemas y/o equipos informatizados de servicios sociales,comunales,políticos, gremiales y religiosos- Calificación operativa
46334;Operadores de sistemas y/o equipos informatizados de servicios sociales,comunales, políticos, gremiales y religiosos- No calificado
46339;Operadores de sistemas y/o equipos informatizados de servicios sociales,comunales,políticos, gremiales y religiosos- Calificación ignorada
47111;Cuenta propia sin operación de maquinarias de los servicios de vigilancia y seguridad civil- Calificación profesional
47112;Cuenta propia sin operación de maquinarias de los servicios de vigilancia y seguridad civil- Calificación técnica
47113;Cuenta propia sin operación de maquinarias de los servicios de vigilancia y seguridad civil- Calificación operativa
47119;Cuenta propia sin operación de maquinarias de los servicios de vigilancia y seguridad civil- Calificación ignorada
47121;Cuenta propia con operación de maquinarias y/o equipos electromecánicos de los servicios de vigilancia y seguridad civil- Calificación profesional
47122;Cuenta propia con operación de maquinarias y/o equipos electromecánicos de los servicios de vigilancia y seguridad civil - Calificación técnica
47123;Cuenta propia con operación de maquinarias y/o equipos electromecánicos de los servicios de vigilancia y seguridad civil - Calificación operativa
47129;Cuenta propia con operación de maquinarias y/o equipos electromecánicos de los servicios de vigilancia y seguridad civil - Calificación ignorada
47131;Cuenta propia con operación de sistemas y/o equipos informatizados de los servicios de vigilancia y seguridad civil- Calificación profesional
47132;Cuenta propia con operación de sistemas y/o equipos informatizados de los servicios de vigilancia y seguridad civil - Calificación técnica
47133;Cuenta propia con operación de sistemas y/o equipos informatizados de los servicios de vigilancia y seguridad civil- Calificación operativa
47139;Cuenta propia con operación de sistemas y/o equipos informatizados de los servicios de vigilancia y seguridad civil- Calificación ignorada
47201;Jefes de los servicios de vigilancia y seguridad civil- Calificación profesional
47202;Jefes de los servicios de vigilancia y seguridad civil- Calificación técnica
47203;Jefes de los servicios de vigilancia y seguridad civil- Calificación operativa
47209;Jefes de los servicios de vigilancia y seguridad civil- Calificación ignorada
47311;Trabajadores sin operación de maquinarias de los servicios de vigilancia y seguridad civil - Calificación profesional
47312;Trabajadores sin operación de maquinarias de los servicios de vigilancia y seguridad civil - Calificación técnica
47313;Trabajadores sin operación de maquinarias de los servicios de vigilancia y seguridad civil- Calificación operativa
47314;Trabajadores sin operación de maquinarias de los servicios de vigilancia y seguridad civil- No calificados
47319;Trabajadores sin operación de maquinarias de los servicios de vigilancia y seguridad civil- Calificación ignorada
47321;Operadores de maquinaria y/o equipos electromecánicos de los servicios de vigilancia y seguridad civil- Calificación profesional
47322;Operadores de maquinaria y/o equipos electromecánicos de los servicios de vigilancia y seguridad civil- Calificación técnica
47323;Operadores de maquinaria y/o equipos electromecánicos de los servicios de vigilancia y seguridad civil- Calificación operativa
47324;Operadores de maquinaria y/o equipos electromecánicos de los servicios de vigilancia y seguridad civil- No calificados
47329;Operadores de maquinaria y/o equipos electromecánicos de los servicios de vigilancia y seguridad civil- Calificación ignorada
47331;Operadores de sistemas y/o equipos informáticos de los servicios de vigilancia y seguridad civil- Calificación profesional
47332;Operadores de sistemas y/o equipos informáticos de los servicios de vigilancia y seguridad civil- Calificación técnica
47333;Operadores de sistemas y/o equipos informáticos de los servicios de vigilancia y seguridad civil- Calificación operativa
47334;Operadores de sistemas y/o equipos informáticos de los servicios de vigilancia y seguridad civil- No calificados
47339;Operadores de sistemas y/o equipos informáticos de los servicios de vigilancia y seguridad civil- Calificación ignorada
48311;Trabajadores sin operación de maquinarias de los servicios policiales- Calificación profesional
48312;Trabajadores sin operación de maquinarias de los servicios policiales- Calificación técnica
48313;Trabajadores sin operación de maquinarias de los servicios policiales- Calificación operativa
48314;Trabajadores sin operación de maquinarias de los servicios policiales- No calificados
48319;Trabajadores sin operación de maquinarias de los servicios policiales- Calificación ignorada
48321;Operadores de maquinaria y/o equipos electromecánicos de los servicios de policía- Calificación profesional
48322;Operadores de maquinaria y/o equipos electromecánicos de los servicios de policía- Calificación técnica
48323;Operadores de maquinaria y/o equipos electromecánicos de los servicios de policía- Calificación operativa
48324;Operadores de maquinaria y/o equipos electromecánicos de los servicios de policía- No calificados
48329;Operadores de maquinaria y/o equipos electromecánicos de los servicios de policía- Calificación ignorada
48331;Operadores de sistemas y/o equipos informáticos de los servicios de policía- Calificación profesional
48332;Operadores de sistemas y/o equipos informáticos de los servicios de policía- Calificación técnica
48333;Operadores de sistemas y/o equipos informáticos de los servicios de policía- Calificación operativa
48334;Operadores de sistemas y/o equipos informáticos de los servicios de policía- No calificados
48339;Operadores de sistemas y/o equipos informáticos de los servicios de policía- Calificación ignorada
49311;Trabajadores sin operación de maquinarias de las FFAA, Gendarmería y Prefectura- Calificación profesional
49312;Trabajadores sin operación de maquinarias de las FFAA, Gendarmería y Prefectura- Calificación técnica
49313;Trabajadores sin operación de maquinarias de las FFAA, Gendarmería y Prefectura Calificación operativa
49314;Trabajadores sin operación de maquinarias de las FFAA, Gendarmería y Prefectura- No calificados
49319;Trabajadores sin operación de maquinarias de las FFAA, Gendarmería y Prefectura Calificación ignorada
49321;Operadores de maquinarias y/o equipos electromecánicos de las FFAA, Gendarmería y Prefectura- Calificación profesional
49322;Operadores de maquinarias y/o equipos electromecánicos de las FFAA, Gendarmería y Prefectura- Calificación técnica
49323;Operadores de maquinarias y/o equipos electromecánicos de las FFAA, Gendarmería y Prefectura Calificación operativa
49324;Operadores de maquinarias y/o equipos electromecánicos de las FFAA, Gendarmería y Prefectura- No calificados
49329;Operadores de maquinarias y/o equipos electromecánicos de las FFAA, Gendarmería y Prefectura Calificación ignorada
49331;Operadores de sistemas y/o equipos informatizados de las FFAA, Gendarmería y Prefectura- Calificación profesional
49332;Operadores de sistemas y/o equipos informatizados de las FFAA, Gendarmería y Prefectura- Calificación técnica
49333;Operadores de sistemas y/o equipos informatizados de las FFAA, Gendarmería y Prefectura Calificación operativa
49334;Operadores de sistemas y/o equipos informatizados de las FFAA, Gendarmería y Prefectura- No calificados
49339;Operadores de sistemas y/o equipos informatizados de las FFAA, Gendarmería y Prefectura Calificación ignorada
50111;Cuenta propia sin operación de maquinarias del arte- Calificación profesional
50112;Cuenta propia sin operación de maquinarias del arte - Calificación técnica
50113;Cuenta propia sin operación de maquinarias del arte - Calificación operativa
50119;Cuenta propia sin operación de maquinarias del arte - Calificación ignorada
50121;Cuenta propia con operación de maquinarias y/o equipos electromecánicos del arte- Calificación profesional
50122;Cuenta propia con operación de maquinarias y/o equipos electromecánicos del arte- Calificación técnica
50123;Cuenta propia con operación de maquinarias y/o equipos electromecánicos del arte- Calificación operativa
50129;Cuenta propia con operación de maquinarias y/o equipos electromecánicos del arte- Calificación ignorada
50131;Cuenta propia con operación de sistemas y/o equipos informatizados del arte- Calificación profesional
50132;Cuenta propia con operación de sistemas y/o equipos informatizados del arte - Calificación técnica
50133;Cuenta propia con operación de sistemas y/o equipos informatizados del arte - Calificación operativa
50139;Cuenta propia con operación de sistemas y/o equipos informatizados del arte - Calificación ignorada
50201;Jefes del arte- Calificación profesional
50202;Jefes del arte- Calificación técnica
50203;Jefes del arte- Calificación operativa
50209;Jefes del arte- Calificación ignorada
50311;Trabajadores sin operación de maquinarias del arte - Calificación profesional
50312;Trabajadores sin operación de maquinarias del arte - Calificación técnica
50313;Trabajadores sin operación de maquinarias del arte- Calificación operativa
50314;Trabajadores sin operación de maquinarias del arte - No calificado
50319;Trabajadores sin operación de maquinarias del arte- Calificación ignorada
50321;Operadores de maquinaria y/o equipos electromecánicos del arte - Calificación profesional
50322;Operadores de maquinaria y/o equipos electromecánicos del arte - Calificación técnica
50323;Operadores de maquinaria y/o equipos electromecánicos del arte - Calificación operativa
50324;Operadores de maquinaria y/o equipos electromecánicos del arte - No calificado
50329;Operadores de maquinaria y/o equipos electromecánicos del arte - Calificación ignorada
50331;Operadores de sistemas y/o equipos informatizados del arte- Calificación profesional
50332;Operadores de sistemas y/o equipos informatizados del arte - Calificación técnica
50333;Operadores de sistemas y/o equipos informatizados del arte - Calificación operativa
50334;Operadores de sistemas y/o equipos informatizados del arte - No calificado
50339;Operadores de sistemas y/o equipos informatizados del arte - Calificación ignorada
